clics_db_id,start_date,end_date,parent_id
5823,2024-01-01,NULL,65094
5824,2023-01-01,NULL,65095
5825,2023-01-01,NULL,65096
5826,2023-01-01,NULL,65097
5827,2024-01-01,NULL,65098
5828,2024-01-01,NULL,65099
5829,2024-01-01,NULL,65100
5830,2024-01-01,NULL,65101
5831,2024-01-01,NULL,65102
5832,2023-01-01,NULL,65103
5833,2024-01-01,NULL,65104
5834,2024-01-01,NULL,65105
5835,2024-01-01,NULL,65106
5836,2024-01-01,NULL,65107
5837,2024-01-01,NULL,65108
5838,2023-01-01,NULL,65109
5839,2024-01-01,NULL,65110
5840,2023-01-01,NULL,65111
5841,2024-01-01,NULL,65112
5842,2024-01-01,NULL,65113
5843,2023-01-01,NULL,65114
5844,2023-01-01,NULL,65115
5845,2023-01-01,NULL,65116
5846,2023-01-01,NULL,65117
5847,2024-01-01,NULL,65118
5848,2024-01-01,NULL,65119
5849,2024-01-01,NULL,65120
5850,2024-01-01,NULL,65121
5851,2023-01-01,NULL,65122
5852,2023-01-01,NULL,65123
5853,2024-01-01,NULL,65124
5854,2024-01-01,NULL,65125
5855,2023-01-01,NULL,65126
5856,2024-01-01,NULL,65127
5857,2024-01-01,NULL,65128
5858,2023-01-01,NULL,65129
5859,2024-01-01,NULL,65130
5860,2023-01-01,NULL,65131
5861,2023-01-01,NULL,65132
5862,2024-01-01,NULL,65133
5863,2024-01-01,NULL,65134
5864,2023-01-01,NULL,65135
5865,2023-01-01,NULL,65136
5866,2023-01-01,NULL,65137
5867,2023-01-01,NULL,65138
5868,2023-01-01,NULL,65139
5869,2024-01-01,NULL,65140
5870,2024-01-01,NULL,65141
5871,2024-01-01,NULL,65142
5872,2024-01-01,NULL,65143
5873,2024-01-01,NULL,65144
5874,2024-01-01,NULL,65145
5875,2024-01-01,NULL,65146
5876,2024-01-01,NULL,65147
5877,2023-01-01,NULL,65148
5878,2024-01-01,NULL,65149
5879,2024-01-01,NULL,65150
5880,2024-01-01,NULL,65151
5881,2024-01-01,NULL,65152
5882,2024-01-01,NULL,65153
5883,2023-01-01,NULL,65154
5884,2024-01-01,NULL,65155
5885,2024-01-01,NULL,65156
5886,2024-01-01,NULL,65157
5887,2023-01-01,NULL,65158
5888,2023-01-01,NULL,65159
5889,2024-01-01,NULL,65160
5890,2023-01-01,NULL,65161
5891,2024-01-01,NULL,65162
5892,2024-01-01,NULL,65163
5893,2024-01-01,NULL,65164
5894,2023-01-01,NULL,65165
5895,2024-01-01,NULL,65166
5896,2024-01-01,NULL,65167
5897,2024-01-01,NULL,65168
5898,2024-01-01,NULL,65169
5899,2024-01-01,NULL,65170
5900,2024-01-01,NULL,65171
5901,2024-01-01,NULL,65172
5902,2024-01-01,NULL,65173
5903,2023-01-01,NULL,65174
5904,2024-01-01,NULL,65175
5905,2024-01-01,NULL,65176
5906,2023-01-01,NULL,65177
5907,2024-01-01,NULL,65178
5908,2023-01-01,NULL,65179
5909,2023-01-01,NULL,65180
5910,2023-01-01,NULL,65181
5911,2024-01-01,NULL,65182
5912,2024-01-01,NULL,65183
5913,2024-01-01,NULL,65184
5914,2024-01-01,NULL,65185
5915,2023-01-01,NULL,65186
5916,2023-01-01,NULL,65187
5917,2023-01-01,NULL,65188
5918,2023-01-01,NULL,65189
5919,2023-01-01,NULL,65190
5920,2023-01-01,NULL,65191
5921,2023-01-01,NULL,65192
